model,train_accuracy,test_accuracy,precision,recall,f1_score,roc_auc,train_test_gap
LogisticRegression,0.8092948717948718,0.802846975088968,0.6632302405498282,0.5188172043010753,0.5822021116138764,0.8412404105382589,0.006447896705903844
GradientBoosting,0.8262108262108262,0.801423487544484,0.662020905923345,0.510752688172043,0.5766312594840668,0.836759256367819,0.024787338666342196
XGBoost,0.9481837606837606,0.7772241992882563,0.6006825938566553,0.4731182795698925,0.5293233082706766,0.8186329617254267,0.1709595613955044
RandomForest,0.9976851851851852,0.7879003558718861,0.6390977443609023,0.45698924731182794,0.5329153605015674,0.8182595322112232,0.20978482931329911
DecisionTree,0.9976851851851852,0.7380782918149467,0.505586592178771,0.48655913978494625,0.4958904109589041,0.6576067722158032,0.25960689337023857
